created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2026-05-05T12:57:37+00:00,1,23.6332,24.26,29.19465,,,,
2026-05-05T12:58:41+00:00,2,23.86002,24.26,29.73716,,,,
2026-05-05T12:59:45+00:00,3,23.87892,24.26,29.4207,,,,
2026-05-05T13:00:49+00:00,4,23.87892,24.26,29.73113,,,,
2026-05-05T13:01:53+00:00,5,23.80332,24.26,30.19528,,,,
2026-05-05T13:02:57+00:00,6,23.86002,24.26,30.12596,,,,
2026-05-05T13:04:02+00:00,7,23.68991,24.26,30.0476,,,,
2026-05-05T13:05:06+00:00,8,23.72771,24.26,30.37009,,,,
2026-05-05T13:06:10+00:00,9,23.68991,24.33,30.40324,,,,
2026-05-05T13:07:14+00:00,10,23.6143,24.33,30.62627,,,,
2026-05-05T13:08:19+00:00,11,23.50089,24.33,30.49064,,,,
2026-05-05T13:09:23+00:00,12,23.5576,24.33,30.52983,,,,
2026-05-05T13:10:27+00:00,13,23.5954,24.33,30.62024,,,,
2026-05-05T13:11:56+00:00,14,23.6332,24.33,30.77697,,,,
2026-05-05T13:13:00+00:00,15,23.67101,24.33,30.84328,,,,
2026-05-05T13:14:04+00:00,16,23.65211,24.33,30.87944,,,,
2026-05-05T13:15:09+00:00,17,23.23627,24.33,30.4816,,,,
2026-05-05T13:16:13+00:00,18,23.34968,24.29,30.59613,,,,
2026-05-05T13:17:17+00:00,19,23.51979,24.29,30.5027,,,,
2026-05-05T13:18:21+00:00,20,23.48199,24.29,30.49064,,,,
2026-05-05T13:19:25+00:00,21,23.6143,24.29,30.1561,,,,
2026-05-05T13:20:30+00:00,22,23.42529,24.29,30.25857,,,,
2026-05-05T13:21:34+00:00,23,23.51979,24.29,30.30077,,,,
2026-05-05T13:22:38+00:00,24,23.68991,24.29,30.41228,,,,
2026-05-05T13:23:42+00:00,25,23.67101,24.29,30.46955,,,,
2026-05-05T13:24:47+00:00,26,23.6332,24.29,30.3731,,,,
2026-05-05T13:25:53+00:00,27,23.51979,24.29,30.27063,,,,
2026-05-05T13:26:58+00:00,28,23.14176,24.05,30.19829,,,,
2026-05-05T13:28:02+00:00,29,23.16066,24.18,30.26761,,,,
2026-05-05T13:29:06+00:00,30,23.23627,24.18,30.44242,,,,
2026-05-05T13:30:11+00:00,31,23.10396,24.18,30.14706,,,,
2026-05-05T13:31:15+00:00,32,23.00945,24.18,30.67751,,,,
2026-05-05T13:32:20+00:00,33,23.04725,23.96,30.49366,,,,
2026-05-05T13:33:24+00:00,34,23.23627,23.96,30.45749,,,,
2026-05-05T13:34:35+00:00,35,23.48199,23.96,30.57202,,,,
2026-05-05T13:35:44+00:00,36,23.6143,23.96,30.45448,,,,
2026-05-05T13:37:04+00:00,37,23.68991,23.96,30.52078,,,,
2026-05-05T13:38:17+00:00,38,23.76551,23.96,30.58106,,,,
2026-05-05T13:39:32+00:00,39,23.84112,23.96,30.41831,,,,
2026-05-05T13:40:36+00:00,40,23.99233,23.96,30.32789,,,,
2026-05-05T13:41:41+00:00,41,23.70881,23.96,30.1561,,,,
2026-05-05T13:42:45+00:00,42,23.23627,23.92,29.97828,,,,
